X,Y,Layer1
88.0,21.0,6.7063007
88.5,21.0,6.4505906
69.0,20.5,7.213351
69.5,20.5,6.947427
70.0,20.5,7.0432525
70.5,20.5,7.399293
71.0,20.5,7.908242
71.5,20.5,7.8439264
72.0,20.5,7.164521
72.5,20.5,6.4944534
73.0,20.5,6.821092
73.5,20.5,6.602621
74.0,20.5,7.30545
74.5,20.5,6.813368
75.0,20.5,5.832594
75.5,20.5,6.205092
76.0,20.5,6.4154363
76.5,20.5,6.4474106
77.0,20.5,6.07498
77.5,20.5,6.6823735
78.0,20.5,6.4291024
78.5,20.5,5.950243
79.0,20.5,5.7924595
79.5,20.5,5.780798
80.0,20.5,5.690308
80.5,20.5,5.83962
81.0,20.5,6.268839
81.5,20.5,6.0647097
82.0,20.5,5.4071794
82.5,20.5,5.2845907
83.0,20.5,5.0655384
83.5,20.5,5.100986
84.0,20.5,5.412893
84.5,20.5,5.0251517
85.0,20.5,4.6411595
85.5,20.5,5.5383883
86.0,20.5,6.230836
86.5,20.5,6.7761307
87.0,20.5,7.080761
87.5,20.5,6.863818
88.0,20.5,6.672062
88.5,20.5,6.508553
89.0,20.5,6.3797216
69.5,20.0,6.9644046
70.0,20.0,7.025282
70.5,20.0,7.172144
71.0,20.0,7.3477626
71.5,20.0,7.3550673
72.0,20.0,6.772314
72.5,20.0,6.223801
73.0,20.0,6.1172643
73.5,20.0,6.8542204
74.0,20.0,7.2902646
74.5,20.0,6.8319783
75.0,20.0,6.2387257
75.5,20.0,6.4300256
76.0,20.0,6.1451106
76.5,20.0,6.2887764
77.0,20.0,6.3938017
77.5,20.0,6.4557643
78.0,20.0,6.020797
78.5,20.0,5.692725
79.0,20.0,5.497161
79.5,20.0,5.4369664
80.0,20.0,5.5364294
80.5,20.0,5.611913
81.0,20.0,5.517334
81.5,20.0,6.0971284
82.0,20.0,6.1415834
82.5,20.0,5.268339
83.0,20.0,5.0739183
83.5,20.0,4.9952755
84.0,20.0,5.2802076
84.5,20.0,4.3253694
85.0,20.0,5.053542
85.5,20.0,6.332741
86.0,20.0,6.8305235
86.5,20.0,7.032808
87.0,20.0,6.9234624
87.5,20.0,6.80345
88.0,20.0,6.65193
88.5,20.0,6.5072217
70.0,19.5,7.040269
70.5,19.5,7.080639
71.0,19.5,7.118146
71.5,19.5,7.0779963
72.0,19.5,6.562997
72.5,19.5,5.9871707
73.0,19.5,5.3354974
73.5,19.5,5.2747493
74.0,19.5,7.346379
74.5,19.5,6.562772
75.0,19.5,6.344082
75.5,19.5,6.1773157
76.0,19.5,6.017192
76.5,19.5,5.991188
77.0,19.5,6.037677
77.5,19.5,6.2461004
78.0,19.5,6.0190067
78.5,19.5,5.88526
79.0,19.5,5.7411275
79.5,19.5,5.6691732
80.0,19.5,5.0768876
80.5,19.5,4.7559247
81.0,19.5,5.7505903
81.5,19.5,5.6335416
82.0,19.5,5.929527
82.5,19.5,5.916609
83.0,19.5,5.682672
83.5,19.5,4.3503647
84.0,19.5,4.614587
84.5,19.5,4.633925
85.0,19.5,6.1450677
85.5,19.5,7.0060453
86.0,19.5,7.035454
86.5,19.5,6.9550424
87.0,19.5,6.8868165
87.5,19.5,6.7779884
88.0,19.5,6.6382775
71.5,19.0,6.875957
72.0,19.0,6.3914595
72.5,19.0,5.7933397
73.0,19.0,5.3333116
73.5,19.0,6.0072465
